site,source_id,league,date,kickoff,home_team,away_team,market,pick,p1,p2,p3,note,scraped_at
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,correct_score,4 - 0,,,,avg=3.19,2026-08-19T17:42:27Z
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,over_under,Over,36,64,,,2026-08-19T17:42:27Z
forebet,2495184,La Liga,2026-08-26,26/08/2026 21:00,Real Madrid,Real Sociedad,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495170,La Liga,2026-08-27,27/08/2026 20:30,Celta Vigo,Osasuna,1x2,1,47,24,29,avg=2.30,2026-08-19T17:42:27Z
forebet,2495170,La Liga,2026-08-27,27/08/2026 20:30,Celta Vigo,Osasuna,correct_score,2 - 0,,,,avg=2.30,2026-08-19T17:42:27Z
forebet,2495170,La Liga,2026-08-27,27/08/2026 20:30,Celta Vigo,Osasuna,over_under,Under,54,46,,,2026-08-19T17:42:27Z
forebet,2495170,La Liga,2026-08-27,27/08/2026 20:30,Celta Vigo,Osasuna,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2495185,La Liga,2026-08-27,27/08/2026 21:00,Barcelona,Athletic Bilbao,1x2,1,74,15,11,avg=3.09,2026-08-19T17:42:27Z
forebet,2495185,La Liga,2026-08-27,27/08/2026 21:00,Barcelona,Athletic Bilbao,correct_score,3 - 0,,,,avg=3.09,2026-08-19T17:42:27Z
forebet,2495185,La Liga,2026-08-27,27/08/2026 21:00,Barcelona,Athletic Bilbao,over_under,Over,38,62,,,2026-08-19T17:42:27Z
forebet,2495185,La Liga,2026-08-27,27/08/2026 21:00,Barcelona,Athletic Bilbao,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2523292,Bundesliga,2026-08-28,28/08/2026 20:30,Bayern Munich,Stuttgart,1x2,1,66,15,19,avg=4.11,2026-08-19T17:42:27Z
forebet,2523292,Bundesliga,2026-08-28,28/08/2026 20:30,Bayern Munich,Stuttgart,correct_score,3 - 0,,,,avg=4.11,2026-08-19T17:42:27Z
forebet,2523292,Bundesliga,2026-08-28,28/08/2026 20:30,Bayern Munich,Stuttgart,over_under,Over,18,82,,,2026-08-19T17:42:27Z
forebet,2523292,Bundesliga,2026-08-28,28/08/2026 20:30,Bayern Munich,Stuttgart,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2523293,Bundesliga,2026-08-29,29/08/2026 15:30,SV Elversberg,Bayer Leverkusen,1x2,2,35,17,48,avg=4.21,2026-08-19T17:42:27Z
forebet,2523293,Bundesliga,2026-08-29,29/08/2026 15:30,SV Elversberg,Bayer Leverkusen,correct_score,2 - 4,,,,avg=4.21,2026-08-19T17:42:27Z
forebet,2523293,Bundesliga,2026-08-29,29/08/2026 15:30,SV Elversberg,Bayer Leverkusen,over_under,Over,16,84,,,2026-08-19T17:42:27Z
forebet,2523293,Bundesliga,2026-08-29,29/08/2026 15:30,SV Elversberg,Bayer Leverkusen,btts,Yes,11,89,,,2026-08-19T17:42:27Z
forebet,2523294,Bundesliga,2026-08-29,29/08/2026 15:30,Köln,Hoffenheim,1x2,2,29,26,46,avg=3.32,2026-08-19T17:42:27Z
forebet,2523294,Bundesliga,2026-08-29,29/08/2026 15:30,Köln,Hoffenheim,correct_score,1 - 3,,,,avg=3.32,2026-08-19T17:42:27Z
forebet,2523294,Bundesliga,2026-08-29,29/08/2026 15:30,Köln,Hoffenheim,over_under,Over,34,66,,,2026-08-19T17:42:27Z
forebet,2523294,Bundesliga,2026-08-29,29/08/2026 15:30,Köln,Hoffenheim,btts,Yes,26,74,,,2026-08-19T17:42:27Z
forebet,2523295,Bundesliga,2026-08-29,29/08/2026 15:30,Union Berlin,Eintracht Frankfurt,1x2,2,31,33,37,avg=3.41,2026-08-19T17:42:27Z
forebet,2523295,Bundesliga,2026-08-29,29/08/2026 15:30,Union Berlin,Eintracht Frankfurt,correct_score,2 - 3,,,,avg=3.41,2026-08-19T17:42:27Z
forebet,2523295,Bundesliga,2026-08-29,29/08/2026 15:30,Union Berlin,Eintracht Frankfurt,over_under,Over,32,68,,,2026-08-19T17:42:27Z
forebet,2523295,Bundesliga,2026-08-29,29/08/2026 15:30,Union Berlin,Eintracht Frankfurt,btts,Yes,23,77,,,2026-08-19T17:42:27Z
forebet,2523296,Bundesliga,2026-08-29,29/08/2026 15:30,Mainz,Paderborn,1x2,1,44,32,25,avg=3.19,2026-08-19T17:42:27Z
forebet,2523296,Bundesliga,2026-08-29,29/08/2026 15:30,Mainz,Paderborn,correct_score,3 - 1,,,,avg=3.19,2026-08-19T17:42:27Z
forebet,2523296,Bundesliga,2026-08-29,29/08/2026 15:30,Mainz,Paderborn,over_under,Over,36,64,,,2026-08-19T17:42:27Z
forebet,2523296,Bundesliga,2026-08-29,29/08/2026 15:30,Mainz,Paderborn,btts,Yes,31,69,,,2026-08-19T17:42:27Z
forebet,2523297,Bundesliga,2026-08-29,29/08/2026 15:30,RB Leipzig,Borussia M'gladbach,1x2,1,58,22,21,avg=2.83,2026-08-19T17:42:27Z
forebet,2523297,Bundesliga,2026-08-29,29/08/2026 15:30,RB Leipzig,Borussia M'gladbach,correct_score,3 - 0,,,,avg=2.83,2026-08-19T17:42:27Z
forebet,2523297,Bundesliga,2026-08-29,29/08/2026 15:30,RB Leipzig,Borussia M'gladbach,over_under,Over,43,57,,,2026-08-19T17:42:27Z
forebet,2523297,Bundesliga,2026-08-29,29/08/2026 15:30,RB Leipzig,Borussia M'gladbach,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2523298,Bundesliga,2026-08-29,29/08/2026 18:30,Borussia Dortmund,Hamburger SV,1x2,1,61,19,20,avg=3.17,2026-08-19T17:42:27Z
forebet,2523298,Bundesliga,2026-08-29,29/08/2026 18:30,Borussia Dortmund,Hamburger SV,correct_score,3 - 0,,,,avg=3.17,2026-08-19T17:42:27Z
forebet,2523298,Bundesliga,2026-08-29,29/08/2026 18:30,Borussia Dortmund,Hamburger SV,over_under,Over,37,63,,,2026-08-19T17:42:27Z
forebet,2523298,Bundesliga,2026-08-29,29/08/2026 18:30,Borussia Dortmund,Hamburger SV,btts,No,51,49,,,2026-08-19T17:42:27Z
forebet,2523299,Bundesliga,2026-08-30,30/08/2026 15:30,Freiburg,Werder Bremen,1x2,1,47,23,30,avg=3.13,2026-08-19T17:42:27Z
forebet,2523299,Bundesliga,2026-08-30,30/08/2026 15:30,Freiburg,Werder Bremen,correct_score,2 - 1,,,,avg=3.13,2026-08-19T17:42:27Z
forebet,2523299,Bundesliga,2026-08-30,30/08/2026 15:30,Freiburg,Werder Bremen,over_under,Over,37,63,,,2026-08-19T17:42:27Z
forebet,2523299,Bundesliga,2026-08-30,30/08/2026 15:30,Freiburg,Werder Bremen,btts,Yes,39,61,,,2026-08-19T17:42:27Z
forebet,2523300,Bundesliga,2026-08-30,30/08/2026 17:30,Augsburg,Schalke 04,1x2,1,35,31,33,avg=2.87,2026-08-19T17:42:27Z
forebet,2523300,Bundesliga,2026-08-30,30/08/2026 17:30,Augsburg,Schalke 04,correct_score,2 - 1,,,,avg=2.87,2026-08-19T17:42:27Z
forebet,2523300,Bundesliga,2026-08-30,30/08/2026 17:30,Augsburg,Schalke 04,over_under,Over,43,57,,,2026-08-19T17:42:27Z
forebet,2523300,Bundesliga,2026-08-30,30/08/2026 17:30,Augsburg,Schalke 04,btts,Yes,40,60,,,2026-08-19T17:42:27Z
forebet,2496488,Serie A,2026-08-22,22/08/2026 18:30,Udinese,Calcio Como,1x2,2,34,22,44,avg=2.29,2026-08-19T17:42:27Z
forebet,2496488,Serie A,2026-08-22,22/08/2026 18:30,Udinese,Calcio Como,correct_score,0 - 2,,,,avg=2.29,2026-08-19T17:42:27Z
forebet,2496488,Serie A,2026-08-22,22/08/2026 18:30,Udinese,Calcio Como,over_under,Under,54,46,,,2026-08-19T17:42:27Z
