site,team_name,canonical_id
whoscored,Sparta Rotterdam,sparta-rotterdam
whoscored,Sporting CP,sporting-cp
whoscored,Strasbourg,strasbourg
whoscored,Sunderland,sunderland
whoscored,Telstar,sc-telstar
whoscored,Torino,torino
whoscored,Tottenham,tottenham
whoscored,Toulouse,toulouse
whoscored,Troyes,troyes
whoscored,Twente,twente
whoscored,Udinese,udinese
whoscored,Valencia,valencia
whoscored,Venezia,venezia
whoscored,Villarreal,villarreal
whoscored,Vitoria de Guimaraes,vit-ria
whoscored,Willem II,willem-ii-tilburg
